material_id,material_name,formula,crystal_structure,bandgap_energy_eV,is_direct_bandgap,conductivity_S_cm,mobility_cm2_Vs,carrier_concentration_cm3,thermal_conductivity_W_mK,breakdown_field_MV_cm,absorption_coefficient_cm1,refractive_index,max_operating_temp_C,thermal_stability,potential_applications
RAND-0895,MicroCphene,Cd1Sn1,Triclinic,3.727,True,18.83,3172.14,1.87e+16,197.95,2.651,5.68e+05,1.71,1168.5,Very High,High Power Electronics
HYB-ZnO-SnO2-0896,Hybrid Zinc Oxide-Tin Dioxide,ZnO-SnO2,Rocksalt,3.488,False,100.11,133.26,1.96e+16,102.01,2.352,2.86e+03,3.92,583.2,High,"High Power Electronics, Transparent Conductors"
MOD-MoS2-0897,High-performance Molybdenum Disulfide (lightly doped),MoS2,Hexagonal,1.233,False,211.51,109.68,3.76e+16,160.52,0.126,1.64e+03,3.15,374.4,Medium,General semiconductor applications
HYB-InP-CdS-0898,Hybrid Indium Phosphide-Cadmium Sulfide,InP-CdS,Zincblende,2.156,True,1142.62,1241.87,1.56e+19,111.43,0.579,1.71e+03,4.22,486.6,Medium,"LEDs, Transistors"
RAND-0899,NovaGazine,Ga2Cd3In1,Hexagonal,4.569,True,131.52,221.27,2.55e+16,355.7,9.305,4.61e+03,4.23,524.5,High,"High Power Electronics, Transparent Conductors"
MOD-Si-0900,Silicon,Si,Cubic (Diamond),1.193,True,1573.9,1370.57,1.23e+15,159.17,0.124,7.10e+05,3.83,547.4,High,"Solar Cells, Transistors, Photodetectors"
RAND-0901,NanoGazine,In3Pb1,Cubic,0.177,False,1.84,4958.58,4.41e+16,159.46,1.141,1.02e+04,2.35,696.6,High,General semiconductor applications
RAND-0902,FlexPphene,Ge,Amorphous,2.589,True,4.46,4415.6,7.59e+17,76.99,8.168,2.87e+03,1.73,1163.5,Very High,High Power Electronics
HYB-SiC-MoS2-0903,Hybrid Silicon Carbide-Molybdenum Disulfide,SiC-MoS2,"Hexagonal (4H, 6H)",2.487,True,341.24,441.3,1.47e+15,244.22,1.03,4.42e+05,2.81,905.9,Very High,"LEDs, Photodetectors"
MOD-GaN-0904,Gallium Nitride,GaN,Zincblende,2.529,True,2044.15,1215.71,3.59e+15,250.8,0.595,1.62e+04,2.23,547.2,High,"LEDs, Transistors"
RAND-0905,UltraCnium,Te,Orthorhombic,1.586,False,6026.34,564.9,6.36e+15,472.52,8.362,4.30e+04,4.04,969.6,Very High,Transistors
RAND-0906,FlexAscite,SiSn2,Monoclinic,3.15,False,2.79,2145.43,2.49e+21,61.14,1.273,1.92e+04,2.58,1071.7,Very High,High Power Electronics
MOD-MAPbI3-0907,Methylammonium Lead Iodide,CH3NH3PbI3,Cubic,1.097,True,80.08,61.34,5.32e+15,452.05,0.085,7.46e+05,3.11,264.8,Low,Photodetectors
MOD-MAPbI3-0908,Engineered Methylammonium Lead Iodide (strained),CH3NH3PbI3,Cubic,2.099,True,82.53,103.1,6.76e+21,463.06,0.394,1.59e+03,3.77,124.8,Low,General semiconductor applications
HYB-GaN-SnO2-0909,Hybrid Gallium Nitride-Tin Dioxide,GaN-SnO2,Cassiterite,3.548,True,314.48,318.6,5.98e+15,153.49,2.264,1.37e+03,3.3,713.6,High,"High Power Electronics, Transparent Conductors"
HYB-TiO2-CdTe-0910,Hybrid Titanium Dioxide-Cadmium Telluride,TiO2-CdTe,Rutile,2.627,True,219.27,221.38,6.31e+18,232.71,1.03,1.20e+05,2.85,695.5,High,"LEDs, High Power Electronics, Photodetectors"
RAND-0911,NanoInlite,Al3C2,Tetragonal,3.444,True,0.02,2831.88,6.34e+15,464.37,9.89,4.59e+03,2.09,291.3,Low,General semiconductor applications
MOD-CdTe-0912,"Advanced Cadmium Telluride (nanoporous, selectively doped)",CdTe,Zincblende,1.29,True,252.78,377.96,7.06e+21,172.27,0.232,2.04e+04,3.86,105.4,Low,General semiconductor applications
RAND-0913,FlexSecite,GePbCd1,Monoclinic,0.623,False,3.57,2602.17,9.24e+18,34.69,7.89,1.70e+03,4.04,699.0,High,General semiconductor applications
RAND-0914,NeoCdphene,Al1Sn3Se,Orthorhombic,1.503,True,0.02,160.52,1.08e+16,58.47,7.377,1.46e+05,2.8,722.7,High,Photodetectors
MOD-GaN-0915,"Advanced Gallium Nitride (strained, gradient-doped)",GaN,Zincblende,2.396,True,1099.6,781.26,9.48e+20,158.2,0.528,3.39e+03,1.9,407.1,Medium,"LEDs, Transistors"
MOD-MAPbI3-0916,Enhanced Methylammonium Lead Iodide (epitaxial),CH3NH3PbI3,Cubic,1.122,True,45.97,87.49,9.98e+17,480.09,0.168,1.91e+04,2.67,443.7,Medium,General semiconductor applications
RAND-0917,MacroSilite,PCd,Cubic,2.78,True,576.1,3541.78,2.12e+20,258.95,1.349,5.41e+04,1.68,503.4,High,"LEDs, High Power Electronics, Transistors, Photodetectors"
HYB-InP-MAPbI3-0918,Hybrid Indium Phosphide-Methylammonium Lead Iodide,InP-CH3NH3PbI3,Zincblende,1.431,False,2748.28,2465.59,4.49e+17,167.1,0.222,1.13e+05,1.87,302.9,Medium,"Solar Cells, Transistors, Photodetectors"
MOD-GaAs-0919,Engineered Gallium Arsenide (mesoporous),GaAs,Zincblende,1.732,True,7540.57,9984.12,1.25e+19,125.47,0.395,7.04e+03,4.42,611.4,High,Transistors
HYB-MAPbI3-GaN-0920,Hybrid Methylammonium Lead Iodide-Gallium Nitride,CH3NH3PbI3-GaN,Cubic,1.966,True,308.67,368.13,1.06e+17,101.95,0.553,4.12e+05,1.72,673.4,High,"LEDs, Photodetectors"
RAND-0921,FlexAlphene,Si2,Cubic,3.251,True,12.38,3220.27,8.21e+15,395.13,7.268,1.23e+04,3.07,241.2,Low,General semiconductor applications
MOD-MAPbI3-0922,Next-gen Methylammonium Lead Iodide (epitaxial),CH3NH3PbI3,Tetragonal,2.151,True,49.89,72.22,1.31e+19,25.56,0.374,1.61e+05,2.23,443.8,Medium,Photodetectors
RAND-0923,SynthIndex,AlBCd,Tetragonal,2.586,False,0.26,2051.22,2.87e+21,473.05,1.895,2.29e+03,1.81,122.2,Low,General semiconductor applications
HYB-AlGaAs-GaAs-0924,Hybrid Aluminium Gallium Arsenide-Gallium Arsenide,AlGaAs-GaAs,Zincblende,1.533,False,4441.67,4255.83,5.24e+17,239.68,0.257,5.44e+04,1.74,351.8,Medium,"Transistors, Photodetectors"
RAND-0925,MacroSetron,BIn2,Triclinic,3.031,False,8.94,2412.85,1.50e+15,218.12,3.174,1.95e+05,1.86,374.6,Medium,General semiconductor applications
RAND-0926,MicroSiphene,AlTi3,Monoclinic,2.251,False,7294.0,3142.37,3.73e+16,304.5,0.221,2.93e+05,4.5,568.0,High,"Transistors, Photodetectors"
MOD-ZnO-0927,Zinc Oxide,ZnO,Rocksalt,4.688,False,260.0,147.84,8.24e+21,188.21,2.705,8.87e+04,3.17,404.0,Medium,Transparent Conductors
HYB-Cu2O-MAPbI3-0928,Hybrid Copper(I) Oxide-Methylammonium Lead Iodide,Cu2O-CH3NH3PbI3,Cubic,1.689,False,34.84,45.73,3.61e+17,440.32,0.375,3.05e+03,3.72,424.6,Medium,General semiconductor applications
MOD-GaAs-0929,Gallium Arsenide,GaAs,Zincblende,2.053,True,4744.48,2709.37,7.10e+19,216.16,0.606,5.31e+03,3.59,693.1,High,"LEDs, Transistors"
MOD-Ge-0930,Germanium,Ge,Amorphous,0.922,True,1522.69,2898.69,2.63e+15,122.32,0.08,7.52e+04,2.59,211.2,Low,"Transistors, Photodetectors, Thermoelectrics"
MOD-Cu2O-0931,Copper(I) Oxide,Cu2O,Cubic,2.643,False,0.63,0.62,9.45e+19,152.55,0.978,1.88e+05,4.17,200.7,Low,Photodetectors
MOD-SiC-0932,Engineered Silicon Carbide (selectively doped),SiC,"Hexagonal (4H, 6H)",2.198,False,252.02,445.12,3.27e+20,243.3,0.966,7.89e+05,2.85,1106.9,Very High,Photodetectors
RAND-0933,NovaTedyne,Se1C,Orthorhombic,2.531,False,0.35,4552.77,4.08e+20,83.34,9.901,1.37e+03,3.38,1183.2,Very High,High Power Electronics
MOD-GaN-0934,Custom Gallium Nitride (epitaxial),GaN,Wurtzite,2.577,True,1011.55,1144.1,1.73e+18,143.3,1.48,2.22e+05,2.59,555.5,High,"LEDs, High Power Electronics, Transistors, Photodetectors"
MOD-Ge-0935,"High-performance Germanium (nanostructured, lightly doped)",Ge,Amorphous,0.629,True,2729.1,3820.72,1.80e+20,436.96,0.041,1.55e+03,3.45,493.5,Medium,"Transistors, Thermoelectrics"
MOD-AlGaAs-0936,Aluminium Gallium Arsenide,AlGaAs,Zincblende,0.934,False,5244.41,4294.61,1.02e+17,414.12,0.091,1.27e+05,2.05,339.5,Medium,"Transistors, Photodetectors"
HYB-MAPbI3-TiO2-0937,Hybrid Methylammonium Lead Iodide-Titanium Dioxide,CH3NH3PbI3-TiO2,Anatase,1.923,False,38.73,49.79,1.69e+18,142.97,0.533,4.75e+05,4.48,764.4,High,Photodetectors
HYB-Si-SiC-0938,Hybrid Silicon-Silicon Carbide,Si-SiC,Cubic (3C),2.133,False,763.41,702.15,6.98e+16,420.7,0.591,1.16e+03,3.6,1156.8,Very High,Transistors
HYB-Si-ZnO-0939,Hybrid Silicon-Zinc Oxide,Si-ZnO,Zincblende,2.857,False,382.43,336.27,1.50e+20,400.44,1.241,1.85e+05,3.73,686.7,High,"High Power Electronics, Photodetectors"
HYB-CdS-GaAs-0940,Hybrid Cadmium Sulfide-Gallium Arsenide,CdS-GaAs,Zincblende,1.961,True,2322.33,2306.88,4.51e+15,196.4,0.482,2.50e+05,2.66,435.0,Medium,"LEDs, Transistors, Photodetectors"
MOD-CdTe-0941,Next-gen Cadmium Telluride (quantum-confined),CdTe,Zincblende,1.842,True,205.02,304.38,1.65e+19,309.41,0.495,3.40e+03,3.1,170.7,Low,LEDs
HYB-AlGaAs-Ge-0942,Hybrid Aluminium Gallium Arsenide-Germanium,AlGaAs-Ge,Zincblende,0.939,False,2237.98,1897.5,1.70e+20,121.82,0.101,6.86e+05,2.42,499.0,Medium,"Transistors, Photodetectors, Thermoelectrics"
RAND-0943,UltraTiflux,Al1S3Se,Tetragonal,5.363,False,7132.53,351.48,1.09e+19,489.0,1.815,2.08e+03,3.47,1026.5,Very High,Transistors
MOD-Graphene-0944,Enhanced Graphene (selectively doped),C,Hexagonal,0.0,True,6773.68,10807.29,8.05e+21,30.78,0.0,7.21e+05,3.84,1028.1,Very High,General semiconductor applications
MOD-AlGaAs-0945,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.822,False,1050.73,1338.89,6.78e+21,80.32,0.39,1.50e+04,2.25,222.7,Low,Transistors
MOD-SnO2-0946,Tin Dioxide,SnO2,Rutile,4.653,False,1.83,2.97,9.00e+16,463.73,6.234,6.00e+04,2.2,592.9,High,High Power Electronics
MOD-AlGaAs-0947,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.221,True,3314.04,2529.52,6.37e+19,279.97,0.142,9.00e+05,1.75,126.1,Low,"Transistors, Photodetectors"
RAND-0948,MicroAlflux,Sn3AsCd2,Cubic,1.347,False,2.17,4348.74,6.20e+17,155.67,4.023,7.45e+05,3.71,311.8,Medium,Photodetectors
MOD-ZnO-0949,"Next-gen Zinc Oxide (strained, selectively doped)",ZnO,Rocksalt,4.464,False,46.12,57.19,5.79e+20,411.23,4.386,1.40e+04,1.66,1057.7,Very High,High Power Electronics
RAND-0950,NanoAltron,Sn,Hexagonal,1.358,False,2527.44,2112.11,7.00e+16,402.14,8.377,6.87e+03,3.66,999.0,Very High,Transistors
RAND-0951,FlexPbmide,As,Cubic,1.917,False,70.4,833.47,2.08e+19,357.16,3.312,2.16e+03,2.33,684.5,High,General semiconductor applications
MOD-Si-0952,Silicon,Si,Cubic (Diamond),0.837,False,965.87,1727.97,1.31e+15,467.7,0.035,3.05e+04,4.15,647.7,High,"Transistors, Thermoelectrics"
MOD-AlGaAs-0953,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.178,True,1205.58,2123.05,7.07e+20,414.48,0.216,6.73e+05,2.62,625.5,High,"Solar Cells, Transistors, Photodetectors"
RAND-0954,QuantumTitron,Ti3,Amorphous,0.717,True,0.92,3908.81,4.95e+20,394.88,1.558,1.35e+04,2.26,694.3,High,General semiconductor applications
RAND-0955,SynthSezine,CdPb3,Orthorhombic,0.618,True,824.33,147.28,1.02e+15,374.72,8.144,7.94e+03,1.65,342.9,Medium,"Transistors, Thermoelectrics"
MOD-Ge-0956,"Modified Germanium (mesoporous, heavily doped)",Ge,Amorphous,0.36,True,1686.71,1207.69,9.55e+20,430.44,0.008,5.64e+05,2.59,656.4,High,"Transistors, Thermoelectrics"
RAND-0957,NovaPlite,AlGeSe3,Amorphous,3.799,False,0.04,2168.08,5.31e+19,116.54,9.032,7.53e+03,2.16,781.3,High,High Power Electronics
MOD-AlGaAs-0958,Aluminium Gallium Arsenide,AlGaAs,Zincblende,2.456,True,2158.2,3776.47,4.70e+20,202.55,0.656,1.27e+03,3.92,559.0,High,"LEDs, Transistors"
RAND-0959,QuantumAscite,GeGa3Sn,Tetragonal,4.475,True,7212.09,3177.96,8.75e+21,384.0,9.532,1.21e+04,4.41,798.9,High,"High Power Electronics, Transistors"
HYB-SnO2-TiO2-0960,Hybrid Tin Dioxide-Titanium Dioxide,SnO2-TiO2,Cassiterite,3.424,True,2.85,4.15,1.28e+19,406.8,2.331,1.49e+03,4.12,677.5,High,High Power Electronics
HYB-AlGaAs-Cu2O-0961,Hybrid Aluminium Gallium Arsenide-Copper(I) Oxide,AlGaAs-Cu2O,Zincblende,1.882,False,1764.46,1983.1,1.43e+17,487.3,0.406,4.13e+05,1.77,344.5,Medium,"Transistors, Photodetectors"
HYB-AlGaAs-MoS2-0962,Hybrid Aluminium Gallium Arsenide-Molybdenum Disulfide,AlGaAs-MoS2,Zincblende,1.8,True,1884.78,2062.87,3.30e+17,156.24,0.494,2.80e+03,2.18,624.6,High,"LEDs, Transistors"
MOD-AlGaAs-0963,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.467,False,3199.43,4473.58,5.49e+16,469.4,0.304,1.19e+03,4.26,290.9,Low,Transistors
MOD-ZnO-0964,"Custom Zinc Oxide (nanostructured, gradient-doped)",ZnO,Rocksalt,4.554,True,319.0,161.48,2.31e+18,46.36,4.222,1.77e+03,3.09,951.9,Very High,"High Power Electronics, Transparent Conductors"
RAND-0965,MacroSidyne,S1Al1,Tetragonal,3.034,True,8.02,3387.55,2.16e+15,25.21,5.457,3.06e+04,2.42,395.2,Medium,General semiconductor applications
HYB-GaN-SiC-0966,Hybrid Gallium Nitride-Silicon Carbide,GaN-SiC,Cubic (3C),3.291,False,653.1,810.1,9.30e+15,40.21,1.753,9.88e+05,4.31,988.5,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0967,MacroPphene,Ga,Tetragonal,2.043,False,2180.25,4893.54,1.51e+17,265.98,5.758,1.81e+04,3.52,772.5,High,Transistors
MOD-SiC-0968,High-performance Silicon Carbide (nanostructured),SiC,"Hexagonal (4H, 6H)",3.035,False,119.16,109.29,1.17e+21,376.56,0.938,2.33e+05,1.84,594.2,High,Transparent Conductors
MOD-MAPbI3-0969,Methylammonium Lead Iodide,CH3NH3PbI3,Cubic,2.104,True,14.03,13.02,7.13e+16,189.11,0.679,2.92e+05,1.72,129.0,Low,Photodetectors
RAND-0970,PicoSiflux,In1Sn1S,Amorphous,1.186,True,8020.01,660.48,1.82e+19,426.09,7.529,1.24e+05,4.13,293.7,Low,"Transistors, Photodetectors"
MOD-Cu2O-0971,Custom Copper(I) Oxide (lightly doped),Cu2O,Cubic,2.23,False,0.27,0.14,6.54e+17,177.01,0.488,2.57e+03,1.59,718.4,High,General semiconductor applications
RAND-0972,UltraPbtron,SeTe2Ga,Hexagonal,0.669,True,4.44,3747.87,1.08e+17,150.89,6.894,1.76e+05,3.94,544.0,High,Photodetectors
RAND-0973,FlexTephene,S1Al,Cubic,0.545,True,4.11,2997.11,9.75e+17,77.62,4.426,1.13e+03,1.65,561.5,High,General semiconductor applications
MOD-SiC-0974,"Custom Silicon Carbide (nanostructured, co-doped)",SiC,"Hexagonal (4H, 6H)",2.548,False,519.48,791.06,3.58e+18,103.63,1.023,1.16e+04,3.54,873.8,Very High,"High Power Electronics, Transistors"
RAND-0975,QuantumPdex,Si,Hexagonal,2.471,False,1988.27,4332.17,1.44e+18,262.02,5.757,6.33e+05,4.35,1148.6,Very High,"Transistors, Photodetectors"
HYB-MAPbI3-SnO2-0976,Hybrid Methylammonium Lead Iodide-Tin Dioxide,CH3NH3PbI3-SnO2,Rutile,2.211,True,35.48,49.57,8.78e+17,443.59,0.783,7.46e+04,3.87,789.0,High,Photodetectors
MOD-Ge-0977,Germanium,Ge,Cubic (Diamond),0.831,False,1268.78,2347.29,6.34e+17,434.0,0.068,6.19e+03,2.1,662.4,High,"Transistors, Thermoelectrics"
MOD-InP-0978,Modified Indium Phosphide (epitaxial),InP,Zincblende,1.06,True,1808.39,3200.66,4.50e+16,143.44,0.102,3.09e+04,4.29,779.8,High,Transistors
MOD-TiO2-0979,Enhanced Titanium Dioxide (gradient-doped),TiO2,Brookite,2.205,False,0.12,0.14,2.07e+21,455.4,0.586,3.60e+03,3.92,457.3,Medium,General semiconductor applications
MOD-AlGaAs-0980,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.094,False,3427.63,1720.66,6.86e+15,439.55,0.149,2.89e+05,2.48,777.8,High,"Solar Cells, Transistors, Photodetectors"
MOD-AlGaAs-0981,Aluminium Gallium Arsenide,AlGaAs,Zincblende,1.15,False,1970.62,3533.65,4.38e+18,277.38,0.074,1.92e+03,2.63,497.9,Medium,Transistors
HYB-InP-SnO2-0982,Hybrid Indium Phosphide-Tin Dioxide,InP-SnO2,Cassiterite,2.261,True,2740.38,3563.49,1.67e+18,24.39,0.647,5.95e+05,3.15,796.0,High,"LEDs, Transistors, Photodetectors"
MOD-Graphene-0983,Graphene,C,Hexagonal,0.0,True,10430.09,11960.17,7.32e+21,176.89,0.0,1.78e+05,3.95,719.7,High,General semiconductor applications
MOD-GaAs-0984,Modified Gallium Arsenide (selectively doped),GaAs,Zincblende,2.061,True,3297.52,1985.82,1.41e+16,131.45,0.887,1.39e+05,4.2,536.2,High,"LEDs, Transistors, Photodetectors"
RAND-0985,QuantumPnium,In,Orthorhombic,4.523,False,0.03,2562.41,1.41e+20,465.06,4.934,3.28e+04,3.24,648.0,High,High Power Electronics
HYB-MoS2-Si-0986,Hybrid Molybdenum Disulfide-Silicon,MoS2-Si,Hexagonal,1.465,False,593.96,760.65,6.13e+17,265.65,0.224,1.68e+05,3.38,552.2,High,"Solar Cells, Transistors, Photodetectors"
RAND-0987,NanoSzine,Cd,Cubic,5.408,False,3460.2,1656.91,5.00e+20,361.02,4.156,1.60e+03,2.37,396.0,Medium,Transistors
RAND-0988,MicroSnzine,TeSn,Hexagonal,0.022,False,5294.58,4425.36,3.99e+16,396.71,5.577,9.07e+05,2.95,535.6,High,Transistors
MOD-MoS2-0989,"Modified Molybdenum Disulfide (strained, co-doped)",MoS2,Hexagonal,2.105,False,203.19,275.39,3.33e+16,12.02,0.356,1.99e+03,4.47,564.9,High,General semiconductor applications
RAND-0990,PicoIndex,SPb3,Tetragonal,2.8,False,2.7,3819.42,7.15e+17,117.38,6.607,3.32e+05,2.63,437.9,Medium,Photodetectors
MOD-ZnO-0991,Zinc Oxide,ZnO,Wurtzite,4.825,True,259.55,144.32,3.38e+16,159.25,7.118,7.80e+03,2.98,403.9,Medium,Transparent Conductors
RAND-0992,UltraSezine,Ge3Ti1Cd,Orthorhombic,4.785,True,0.06,113.13,2.69e+19,283.94,6.555,2.57e+05,3.14,1047.5,Very High,High Power Electronics
HYB-GaN-Cu2O-0993,Hybrid Gallium Nitride-Copper(I) Oxide,GaN-Cu2O,Zincblende,3.046,True,896.49,1088.19,7.84e+16,176.74,1.859,1.37e+03,2.48,580.6,High,"LEDs, High Power Electronics, Transistors, Transparent Conductors"
MOD-CdTe-0994,"Enhanced Cadmium Telluride (nanostructured, lightly doped)",CdTe,Zincblende,1.868,True,948.51,968.41,3.02e+18,268.88,0.493,6.36e+05,3.09,512.5,High,"LEDs, Transistors, Photodetectors"
MOD-MAPbI3-0995,Methylammonium Lead Iodide,CH3NH3PbI3,Tetragonal,1.288,True,28.82,39.3,2.49e+19,65.45,0.247,1.46e+03,2.4,123.7,Low,General semiconductor applications
HYB-Ge-Si-0996,Hybrid Germanium-Silicon,Ge-Si,Cubic (Diamond),0.951,True,1375.87,2017.68,4.06e+18,306.94,0.074,9.57e+04,3.84,577.2,High,"Transistors, Photodetectors, Thermoelectrics"
MOD-ZnO-0997,Zinc Oxide,ZnO,Rocksalt,3.296,False,344.08,363.8,4.90e+21,70.14,1.523,1.89e+04,2.39,607.4,High,"High Power Electronics, Transparent Conductors"
MOD-SiC-0998,"Advanced Silicon Carbide (nanostructured, selectively doped)",SiC,"Hexagonal (4H, 6H)",3.842,False,637.05,1191.86,3.19e+18,40.2,2.58,3.40e+05,4.41,938.4,Very High,"High Power Electronics, Transistors, Transparent Conductors"
RAND-0999,PicoTinium,Ti3,Cubic,5.298,True,0.06,4492.47,5.63e+17,362.16,9.349,1.38e+05,1.93,396.3,Medium,General semiconductor applications
HYB-ZnO-Si-1000,Hybrid Zinc Oxide-Silicon,ZnO-Si,Amorphous,1.759,False,772.89,761.58,2.24e+15,212.16,0.429,1.46e+05,3.19,530.6,High,"Transistors, Photodetectors"
RAND-1001,PicoCddex,Se1,Cubic,0.359,True,0.01,3629.89,5.84e+19,348.7,5.679,1.42e+04,3.82,1120.0,Very High,General semiconductor applications
HYB-Ge-InP-1002,Hybrid Germanium-Indium Phosphide,Ge-InP,Zincblende,1.21,False,4064.38,5333.74,4.91e+21,360.47,0.163,1.18e+04,1.84,335.2,Medium,Transistors
RAND-1003,QuantumGatron,AlS,Hexagonal,0.255,False,0.02,45.87,6.00e+20,455.25,2.563,1.63e+04,2.29,244.0,Low,General semiconductor applications
MOD-CdTe-1004,Custom Cadmium Telluride (selectively doped),CdTe,Zincblende,2.08,True,763.32,985.01,5.82e+20,120.78,0.598,6.99e+05,4.01,173.1,Low,"LEDs, Transistors, Photodetectors"
HYB-AlGaAs-CdTe-1005,Hybrid Aluminium Gallium Arsenide-Cadmium Telluride,AlGaAs-CdTe,Zincblende,1.705,True,2252.74,3364.24,2.56e+18,194.96,0.437,2.48e+03,1.83,433.5,Medium,"LEDs, Transistors"
RAND-1006,NeoCdzine,AsP1,Monoclinic,3.882,False,12.69,4991.28,1.77e+15,481.44,0.794,3.60e+04,2.04,1177.2,Very High,General semiconductor applications
MOD-SiC-1007,Silicon Carbide,SiC,Cubic (3C),2.449,True,733.46,522.09,2.84e+15,420.92,1.264,3.13e+04,1.98,602.2,High,"LEDs, Transistors"
RAND-1008,UltraInzine,SiPb,Tetragonal,1.509,True,1.05,4994.41,2.02e+15,461.82,7.473,7.51e+05,2.5,1155.2,Very High,Photodetectors
HYB-GaN-MoS2-1009,Hybrid Gallium Nitride-Molybdenum Disulfide,GaN-MoS2,Hexagonal,2.976,False,935.25,1227.53,2.23e+19,367.76,1.577,3.88e+05,1.83,765.3,High,"High Power Electronics, Transistors, Photodetectors"
MOD-SiC-1010,Silicon Carbide,SiC,"Hexagonal (4H, 6H)",2.199,False,602.47,806.53,3.70e+15,487.05,0.796,7.86e+05,1.71,1070.9,Very High,"Transistors, Photodetectors"
RAND-1011,PicoPdex,CP2,Monoclinic,3.915,False,20.51,423.47,1.78e+16,254.15,9.599,2.62e+03,2.65,1135.2,Very High,High Power Electronics
RAND-1012,NovaCmide,Pb1B3Si3,Monoclinic,4.274,False,35.75,2009.72,1.26e+18,104.11,1.651,4.23e+04,3.34,369.1,Medium,General semiconductor applications
RAND-1013,MicroSphene,TeSi3,Amorphous,3.326,False,40.11,4788.73,1.70e+19,88.44,7.964,2.10e+03,1.94,979.2,Very High,High Power Electronics
RAND-1014,NeoPbcite,AsPb3C1,Cubic,2.054,False,0.18,2811.74,2.30e+17,388.68,8.156,7.96e+05,2.73,1017.7,Very High,Photodetectors
MOD-CdS-1015,Cadmium Sulfide,CdS,Zincblende,3.38,True,8.48,16.92,8.17e+21,233.58,2.066,4.44e+04,3.83,370.3,Medium,General semiconductor applications
MOD-ZnO-1016,Zinc Oxide,ZnO,Rocksalt,2.567,False,303.1,463.13,7.98e+18,263.62,0.648,1.45e+04,4.05,947.9,Very High,General semiconductor applications
MOD-GaAs-1017,Gallium Arsenide,GaAs,Zincblende,1.637,True,3302.88,1770.76,1.25e+17,218.15,0.244,3.67e+04,2.16,522.3,High,"LEDs, Transistors"
MOD-AlGaAs-1018,"Advanced Aluminium Gallium Arsenide (quantum-confined, heavily doped)",AlGaAs,Zincblende,1.578,False,2490.35,3194.29,8.13e+21,447.99,0.206,4.19e+05,2.39,235.3,Low,"Transistors, Photodetectors"
HYB-Si-GaN-1019,Hybrid Silicon-Gallium Nitride,Si-GaN,Amorphous,2.472,True,1118.58,1660.18,2.33e+16,246.6,0.957,7.86e+05,3.87,500.1,High,"LEDs, Transistors, Photodetectors"
MOD-TiO2-1020,Titanium Dioxide,TiO2,Anatase,1.839,True,0.11,0.09,1.51e+18,211.45,0.327,1.80e+05,4.37,1048.3,Very High,Photodetectors
MOD-GaN-1021,Gallium Nitride,GaN,Zincblende,3.786,True,443.43,309.74,5.04e+17,152.87,2.042,4.56e+03,3.58,366.5,Medium,Transparent Conductors
HYB-AlGaAs-GaN-1022,Hybrid Aluminium Gallium Arsenide-Gallium Nitride,AlGaAs-GaN,Wurtzite,2.656,False,2037.3,1666.31,4.45e+21,60.03,1.277,5.23e+04,4.07,645.5,High,"High Power Electronics, Transistors, Photodetectors"
RAND-1023,SynthTeflux,InP,Amorphous,2.677,True,530.47,39.44,4.84e+19,97.52,0.852,3.32e+04,1.53,665.4,High,LEDs
RAND-1024,NeoIndex,GaPb3,Tetragonal,4.464,False,20.85,4136.0,3.82e+20,6.44,6.352,2.19e+04,2.48,492.7,Medium,General semiconductor applications
HYB-ZnO-CdTe-1025,Hybrid Zinc Oxide-Cadmium Telluride,ZnO-CdTe,Zincblende,1.955,False,540.41,647.08,2.16e+17,494.53,0.609,9.15e+04,2.7,545.0,High,"Transistors, Photodetectors"
HYB-Si-MAPbI3-1026,Hybrid Silicon-Methylammonium Lead Iodide,Si-CH3NH3PbI3,Cubic,1.262,True,686.47,577.49,2.12e+18,474.07,0.179,7.10e+05,1.69,713.3,High,"Solar Cells, Transistors, Photodetectors"
RAND-1027,QuantumSidex,Cd1,Orthorhombic,3.166,False,0.33,3126.03,2.88e+20,396.44,9.971,2.64e+03,1.77,1150.7,Very High,High Power Electronics
MOD-GaN-1028,Gallium Nitride,GaN,Wurtzite,2.883,True,907.97,1062.35,7.84e+19,333.69,1.567,1.62e+03,1.89,558.6,High,"LEDs, High Power Electronics, Transistors"
HYB-SiC-Graphene-1029,Hybrid Silicon Carbide-Graphene,SiC-C,Hexagonal,1.656,True,5173.8,4697.95,4.54e+21,274.23,0.33,4.14e+04,3.87,1083.7,Very High,Transistors
MOD-Graphene-1030,"Engineered Graphene (strained, heavily doped)",C,Hexagonal,0.0,True,15777.03,18162.32,8.36e+20,440.96,0.0,4.96e+03,3.4,1086.3,Very High,General semiconductor applications
HYB-SnO2-Si-1031,Hybrid Tin Dioxide-Silicon,SnO2-Si,Rutile,2.862,True,301.25,248.7,2.49e+16,64.08,1.389,5.75e+04,4.19,554.0,High,"LEDs, High Power Electronics, Photodetectors"
